Name,Price,Rating,Reviews
Amazon Brand - Presto! Garbage Bags | Medium | 180 Count | 30 Bags X 6 Rolls | 19 X 21 Inches | Material Plastic | For Dry & Wet Waste | Black,₹330.00,4.4,"49,510"
"ATOM Digital Kitchen Food Weighing Scale For Healthy Living, Home Baking, Cooking, Fitness & Balanced Diet. | 1 Year Warranty | 10Kg x 1gms with 2 Batteries Included, SF400/A121, Color May vary",₹199.00,3.9,"8,338"
"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",₹274.00,3.9,"9,279"
"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black, Rectangular",₹499.00,4.4,"21,731"
"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jar, Silver) - 2 Year Warranty","₹1,599.00",4.2,"18,071"
"Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen (12420, Green, 400 ml)",₹159.00,3.9,"212,012"
Ezee Black Garbage Bags for Dustbin | 90 Pcs | Medium 19 X 21 Inches | 30 Pcs x Pack of 3,₹179.00,4.2,"36,884"
"amazon basics Vacuum Compression Storage Bags With Hand Pump-Large,5-Pack,Plastic,White",₹679.00,4.3,"100,280"
Amazon Brand - Presto! Garbage Bags | Large | 90 Count | 15 Bags X 6 Rolls | 24 X 32 Inches | Material Plastic | For Dry & Wet Waste | Black,₹340.00,4.3,"14,360"
"Trance 100% Waterproof Premium Cotton Feel Mattress Protector King Size, 78x72 Inches | Breathable and Hypoallergenic Ultra Soft Fitted Bed Protector Cover (78""x72"" Fits Upto 10 Inches - King, Grey",₹669.00,4.2,"30,133"
"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",₹499.00,4.1,"35,936"
Homestrap Set of 6 Non-Woven Printed Saree Cover/Cloth Storage/Wardrobe Organizer For Clothes with Transparent Window (Grey)(Shark Tank Featured) 45cmx33cmx22cm,₹359.00,4.0,"15,524"
"Shalimar Plastic Premium Garbage Bags (Lavender Fragrance) Size 19 X 21 Inches (Medium) 120 Bags (4 Rolls) Dustbin Bag/Trash Bag - Black Color, 120 count",₹289.00,4.5,"21,187"
"Ganesh Spark Gas Lighter for Kitchen Use Restaurants Metal Gas Stove Lighter Regular Size Easy Grip Long Lasting, Rust Proof",₹64.00,4.2,175
"Misamo Enterprise PVC Wall Hooks, Pack of 15, Transparent",₹189.00,4.1,"7,834"
"Wakefit 100% Waterproof Premium Cotton Mattress Protector | Breathable and Hypoallergenic Ultra Soft Fitted Bed Protector 78""x72"" - King, Grey","₹1,048.00",4.3,"105,745"
"5 Pack Smart Saver Vacuum Bags for Travel, Space Saver Bags (1 Large/2 Medium/2 Small) Compression Storage Bags for Clothes, Bedding, Pillows, Comforters, Blankets Storage Vacuum Sealer Bags for Clothes Storage, Vaccine Sealed Compression Airtight Reusable Packing Ziplock Bag with Travelling Hand Pump",₹499.00,4.2,"14,753"
"MILTON Comet 1000 Single Wall Stainless Steel Water Bottle 1000ml for School, Office, Home, Gym, Leakproof, Rust free, Black",₹298.00,3.8,"1,127"
Orient Electric Apex-FX Ceiling Fan | 1200mm BEE Star Rated Ceiling Fan | Strong and Powerful Ceiling Fan | Outstanding Performance | 2 Years Warranty by Orient | BLUE,"₹1,399.00",3.9,"28,226"
"Wakefit Height Adjustable Hollow Fiber Sleeping Pillow with Zip |(White and Grey, Standard, Set of 2, Microfiber) 3 Months Warranty",₹878.00,4.3,"75,200"
